iter	CrossEntropy
339	0.1470299933
340	0.1465980056
341	0.146276079
342	0.1459693769
343	0.1453876423
344	0.1451502738
345	0.1448724318
346	0.1445482718
347	0.1437785685
348	0.14299554
349	0.1424622024
350	0.1420475195
351	0.1415756191
352	0.1410005049
353	0.1407982415
354	0.1401784502
355	0.1398022386
356	0.1394475113
357	0.139124824
358	0.1385598873
359	0.1384417318
360	0.1383231584
361	0.1381516219
362	0.1378725566
363	0.1374577681
364	0.1372739392
365	0.1370447272
366	0.1363672386
367	0.1360929008
368	0.136023767
369	0.135562918
370	0.1355073309
371	0.1352309224
372	0.1349533299
373	0.1345032517
374	0.1343190692
