iter	Passed	Remaining
309	4439	930
310	4453	916
311	4466	901
312	4479	887
313	4490	872
314	4503	857
315	4516	843
316	4528	828
317	4540	813
318	4553	799
319	4566	784
320	4578	770
321	4594	756
322	4610	742
323	4625	728
324	4637	713
325	4654	699
326	4666	684
327	4679	670
328	4694	656
329	4706	641
330	4720	627
331	4732	612
332	4746	598
333	4765	585
334	4777	570
335	4789	555
336	4804	541
337	4818	527
338	4830	513
339	4842	498
340	4858	484
341	4878	470
342	4891	456
343	4905	442
344	4920	427
345	4932	413
346	4944	398
347	4961	384
348	4975	370
349	4989	356
350	5003	342
351	5014	327
352	5028	313
353	5040	299
354	5054	284
355	5068	270
356	5085	256
357	5097	242
358	5109	227
359	5121	213
360	5135	199
361	5148	184
362	5163	170
363	5175	156
364	5187	142
365	5199	127
366	5222	113
367	5236	99
368	5254	85
369	5270	71
370	5287	57
371	5300	42
372	5314	28
373	5328	14
374	5341	0
