iter	Passed	Remaining
0	15	5614
1	27	5081
2	42	5228
3	55	5120
4	68	5056
5	81	5013
6	92	4855
7	104	4778
8	116	4742
9	125	4583
10	138	4594
11	150	4565
12	161	4494
13	172	4446
14	179	4312
15	192	4310
16	205	4326
17	214	4252
18	226	4242
19	240	4263
20	251	4235
21	260	4178
22	272	4171
23	287	4202
24	299	4186
25	309	4155
26	321	4139
27	334	4142
28	347	4141
29	359	4134
30	370	4106
31	382	4103
32	393	4082
33	406	4072
34	418	4065
35	432	4077
36	445	4065
37	456	4045
38	467	4030
39	479	4017
40	490	3998
41	500	3966
42	511	3952
43	521	3922
44	533	3915
45	547	3913
46	559	3901
47	569	3878
48	580	3862
49	592	3851
50	603	3834
51	612	3806
52	625	3803
53	645	3838
54	656	3822
55	668	3808
56	680	3797
57	693	3791
58	705	3780
59	716	3761
60	727	3743
61	737	3722
62	749	3710
63	762	3704
64	774	3693
65	785	3678
66	795	3658
67	807	3643
68	817	3627
69	827	3605
70	840	3597
71	852	3587
72	864	3576
73	876	3567
74	890	3561
75	901	3547
76	913	3537
77	924	3520
78	933	3496
79	946	3488
80	957	3475
81	968	3461
82	981	3453
83	991	3436
84	1004	3427
85	1016	3417
86	1028	3403
87	1043	3401
88	1053	3384
89	1063	3366
90	1077	3363
91	1092	3359
92	1105	3353
93	1121	3351
94	1228	3621
95	1270	3692
96	1323	3792
97	1399	3956
98	1441	4019
99	1496	4114
100	1524	4136
101	1556	4165
102	1572	4151
103	1588	4138
104	1615	4153
105	1641	4165
106	1662	4164
107	1677	4147
108	1690	4125
109	1705	4108
110	1719	4090
111	1732	4067
112	1746	4048
113	1756	4022
114	1770	4002
115	1782	3979
116	1797	3963
117	1809	3941
118	1823	3922
119	1833	3895
120	1845	3874
121	1859	3856
122	1873	3837
123	1887	3819
124	1901	3802
125	1914	3783
126	1927	3764
127	1940	3744
128	1953	3725
129	1967	3708
130	1981	3691
131	1994	3671
132	2007	3653
133	2021	3635
134	2034	3617
135	2045	3594
136	2058	3575
137	2071	3558
138	2087	3543
139	2104	3532
140	2117	3514
141	2133	3501
142	2148	3484
143	2161	3468
144	2173	3448
145	2184	3425
146	2198	3410
147	2212	3392
148	2222	3371
149	2234	3351
150	2245	3330
151	2258	3312
152	2270	3293
153	2281	3274
154	2295	3258
155	2308	3240
156	2320	3221
157	2332	3203
158	2345	3185
159	2359	3170
160	2375	3157
161	2390	3143
162	2406	3129
163	2421	3115
164	2443	3109
165	2455	3092
166	2467	3073
167	2480	3056
168	2492	3038
169	2504	3020
170	2516	3002
171	2527	2982
172	2540	2966
173	2552	2948
174	2564	2931
175	2576	2912
176	2587	2894
177	2599	2877
178	2613	2861
179	2625	2844
180	2637	2827
181	2649	2809
182	2662	2793
183	2674	2776
184	2687	2759
185	2699	2742
186	2711	2726
187	2722	2708
188	2734	2691
189	2747	2675
190	2758	2657
191	2772	2642
192	2783	2624
193	2794	2607
194	2807	2591
195	2820	2575
196	2832	2559
197	2844	2542
198	2857	2527
199	2869	2511
200	2879	2493
201	2892	2477
202	2907	2463
203	2920	2447
204	2933	2432
205	2945	2416
206	2957	2399
207	2970	2385
208	2983	2369
209	2997	2355
210	3009	2339
211	3021	2323
212	3034	2307
213	3047	2292
214	3059	2276
215	3069	2259
216	3084	2245
217	3097	2230
218	3120	2222
219	3132	2206
220	3144	2191
221	3163	2180
222	3176	2165
223	3189	2150
224	3209	2139
225	3222	2124
226	3236	2109
227	3252	2096
228	3268	2083
229	3282	2069
230	3296	2054
231	3312	2041
232	3325	2026
233	3338	2011
234	3352	1997
235	3367	1983
236	3381	1968
237	3394	1953
238	3409	1940
239	3421	1924
240	3433	1908
241	3447	1894
242	3461	1880
243	3474	1865
244	3486	1850
245	3504	1837
246	3518	1823
247	3535	1810
248	3549	1796
249	3563	1781
250	3577	1767
251	3592	1753
252	3606	1738
253	3618	1723
254	3635	1710
255	3649	1696
256	3662	1681
257	3681	1669
258	3695	1655
259	3707	1639
260	3720	1625
261	3735	1611
262	3749	1596
263	3763	1582
264	3781	1569
265	3793	1554
266	3807	1540
267	3828	1528
268	3842	1514
269	3854	1499
270	3870	1485
271	3898	1476
272	3916	1463
273	3933	1450
274	3949	1436
275	3962	1421
276	3977	1407
277	3989	1392
278	4001	1376
279	4016	1362
280	4029	1347
281	4043	1333
282	4057	1319
283	4071	1304
284	4087	1290
285	4101	1276
286	4116	1262
287	4129	1247
288	4140	1232
289	4154	1217
290	4170	1203
291	4183	1189
292	4197	1174
293	4211	1160
294	4226	1146
295	4239	1131
296	4253	1117
297	4268	1102
298	4281	1088
299	4299	1074
300	4315	1060
301	4330	1046
302	4347	1033
303	4361	1018
304	4375	1004
305	4385	988
306	4398	974
307	4412	959
308	4426	945
