iter	RMSE
349	2213.834175
350	2213.590768
351	2213.381049
352	2213.056245
353	2212.780774
354	2212.362878
355	2212.246622
356	2212.127334
357	2211.795299
358	2211.494092
359	2211.244272
360	2210.162539
361	2209.567723
362	2209.145315
363	2209.03939
364	2208.69385
365	2208.560908
366	2208.361456
367	2208.191282
368	2207.780277
369	2207.360173
370	2206.906923
371	2206.581121
372	2206.217898
373	2206.072965
374	2204.755792
375	2204.225599
376	2204.106847
377	2204.036776
378	2204.004738
379	2203.562699
380	2203.113092
381	2202.787277
382	2202.303456
383	2202.170305
384	2202.07048
385	2201.334114
386	2201.184146
387	2200.87758
388	2200.63113
389	2200.496959
390	2200.257648
391	2200.18729
392	2199.005841
393	2198.785701
394	2198.43981
395	2197.814451
396	2197.488898
397	2197.076468
398	2196.452073
399	2196.248318
400	2196.176372
401	2196.128515
402	2195.808756
403	2195.474786
404	2195.190755
405	2195.133384
406	2194.750797
407	2194.586242
408	2194.082521
409	2193.844538
410	2193.458785
411	2192.80476
412	2192.541669
413	2192.215393
414	2191.764072
415	2191.463412
416	2191.046423
417	2190.759184
418	2190.593384
419	2190.280187
420	2190.246735
421	2190.057729
422	2189.270465
423	2189.054105
424	2188.466633
425	2188.33642
426	2188.266971
427	2188.029454
428	2187.188995
429	2186.777871
430	2186.147951
431	2185.773337
432	2185.533743
433	2185.349207
434	2185.119255
435	2184.933587
436	2184.826961
437	2184.38605
438	2184.150448
439	2183.934608
440	2183.098172
441	2183.034425
442	2182.863098
443	2182.715178
444	2182.450212
445	2181.765359
446	2181.541514
447	2181.480844
448	2181.230032
449	2180.898724
450	2180.742596
451	2179.966858
452	2179.675267
453	2179.287261
454	2178.933726
455	2178.717041
456	2178.413828
457	2178.197939
458	2177.96988
459	2177.484099
460	2177.076655
461	2176.55895
462	2175.846334
463	2175.738496
464	2175.259851
465	2174.979843
466	2174.637193
467	2174.517906
468	2174.418719
469	2173.782736
470	2173.545955
471	2173.367788
472	2173.32052
473	2172.930818
474	2172.590665
475	2172.095876
476	2172.045475
477	2171.888565
478	2171.790693
479	2171.7649
480	2171.635159
481	2171.486785
482	2171.268783
483	2170.852238
484	2170.598094
485	2170.357179
486	2170.307751
487	2170.153232
488	2170.081674
489	2170.044972
490	2169.940743
491	2169.545931
492	2169.453821
493	2169.363674
494	2168.899981
495	2168.165024
496	2167.798721
497	2167.638293
498	2167.414041
499	2167.25
500	2167.012258
501	2166.770351
502	2166.573262
503	2166.4953
504	2166.076112
505	2165.815744
506	2165.767191
507	2165.655482
508	2165.402399
509	2165.123269
510	2164.767994
511	2164.67531
512	2164.585973
513	2164.52287
514	2164.500647
515	2164.131862
516	2164.103258
517	2163.951697
518	2163.853683
519	2163.330834
520	2162.880802
521	2162.721753
522	2162.435447
523	2162.300101
524	2161.943184
525	2161.791672
526	2161.616662
527	2161.437608
528	2161.081378
529	2160.989902
530	2160.40698
531	2160.346038
532	2160.140311
533	2160.027028
534	2159.246665
535	2158.835863
536	2158.613593
537	2158.302445
538	2158.22636
539	2157.959009
540	2157.810841
541	2157.75682
542	2157.615026
543	2157.48225
544	2157.392876
545	2156.769422
546	2156.738415
547	2156.660182
548	2156.617202
549	2156.473281
550	2156.471017
551	2156.233286
552	2155.769654
553	2155.562618
554	2155.42544
555	2155.24095
556	2155.127955
557	2154.865554
558	2154.804158
559	2154.68597
560	2154.416412
561	2154.208738
562	2153.903281
563	2153.77753
564	2153.651761
565	2153.183065
566	2152.747878
567	2152.63734
568	2152.496998
569	2152.362506
570	2152.217456
571	2151.929798
572	2151.444159
573	2151.120834
574	2150.881122
575	2150.59506
576	2150.183707
577	2150.004065
578	2149.749135
579	2149.697712
580	2149.571582
581	2149.277435
582	2149.075502
583	2148.807265
584	2148.327028
585	2147.495491
586	2147.237419
587	2146.534319
588	2146.39262
589	2145.730794
590	2145.598456
591	2144.915664
592	2144.526866
593	2144.213671
594	2143.858123
595	2143.585888
596	2143.471551
597	2143.266871
598	2143.092107
599	2142.549502
600	2142.451043
601	2142.271859
602	2141.91718
603	2141.77062
604	2141.354223
605	2140.944157
606	2140.879137
607	2140.805666
608	2140.668285
609	2140.626113
610	2140.280386
611	2140.256708
612	2139.983656
613	2139.75045
614	2139.661268
615	2139.625931
616	2139.378575
617	2139.219973
618	2138.926291
619	2138.795176
620	2138.655602
621	2138.480329
622	2137.865671
623	2137.270517
624	2137.042061
625	2136.560874
626	2136.364815
627	2136.261549
628	2136.044388
629	2135.580661
630	2135.494975
631	2135.217766
632	2134.861486
633	2134.763883
634	2134.754226
635	2134.053684
636	2133.892309
637	2133.768029
638	2133.644139
639	2133.44975
640	2133.371704
641	2133.24993
642	2132.611571
643	2132.548385
644	2132.434827
645	2132.363442
646	2132.283247
647	2132.237114
648	2131.746282
649	2131.642355
650	2131.584218
651	2131.511869
652	2130.978345
653	2130.782655
654	2130.272397
655	2129.956974
656	2129.775804
657	2129.526816
658	2129.339228
659	2129.127473
660	2129.023461
661	2128.932713
662	2128.628208
663	2128.568281
664	2128.507331
665	2128.376413
666	2128.18673
667	2127.966466
668	2127.730733
669	2127.606752
670	2127.488239
671	2127.325047
672	2127.264341
673	2127.196308
674	2127.014755
675	2126.609581
676	2126.501846
677	2126.073062
678	2126.012006
679	2125.554018
680	2125.429388
681	2125.200117
682	2125.099668
683	2125.013931
684	2124.806558
685	2124.705099
686	2124.399237
687	2123.857152
688	2123.732677
689	2123.519671
690	2123.501356
691	2123.247935
692	2123.002175
693	2122.811885
694	2122.651211
695	2122.583234
696	2122.336511
697	2122.316016
698	2122.200773
699	2122.102227
700	2122.069353
701	2121.788175
702	2121.689027
703	2121.644051
704	2121.343363
705	2121.149213
706	2121.083291
707	2120.971587
708	2120.556802
709	2120.51365
710	2120.333867
711	2120.196633
712	2120.087384
713	2119.882696
714	2119.656714
715	2119.516776
716	2119.385427
717	2119.298742
718	2119.005431
719	2118.894951
720	2118.803988
721	2118.70718
722	2118.432723
723	2118.260185
724	2118.185523
725	2118.07862
726	2117.886742
727	2117.57764
728	2117.409623
729	2117.365108
730	2117.163498
731	2117.02664
732	2116.871061
733	2116.69206
734	2116.673731
735	2116.582259
736	2115.875616
737	2115.748721
738	2115.693101
739	2115.3434
740	2115.180025
741	2115.083621
742	2114.543207
743	2114.373964
744	2114.281274
745	2114.031964
746	2114.01084
747	2113.876243
748	2113.58081
749	2113.430496
750	2113.355832
751	2113.326169
752	2113.213168
753	2113.094597
754	2112.894992
755	2112.678524
756	2112.633671
757	2112.497633
758	2112.436066
759	2112.251261
760	2112.134326
761	2112.097533
762	2111.936414
763	2111.769221
764	2111.538563
765	2111.527167
766	2111.358393
767	2111.352557
768	2111.300264
769	2111.221827
770	2111.147459
771	2111.106683
772	2111.006409
773	2110.945776
774	2110.81921
775	2110.643827
776	2110.581226
777	2110.431529
778	2110.390093
779	2110.127716
780	2110.007862
781	2109.843442
782	2109.778036
783	2109.397492
784	2109.258755
785	2109.18744
786	2108.86454
787	2108.764665
788	2108.29027
789	2108.164858
790	2107.994319
791	2107.782496
792	2107.613773
793	2107.571482
794	2107.345469
795	2107.205002
796	2107.011963
797	2106.876965
798	2106.748172
799	2106.559659
800	2106.368353
801	2106.173901
802	2105.845799
803	2105.777132
804	2105.456235
805	2105.383231
806	2105.295737
807	2105.212973
808	2105.190476
809	2105.137083
810	2104.871034
811	2104.71792
812	2104.634865
813	2104.467681
814	2104.17555
815	2104.118053
816	2104.090579
817	2104.055918
818	2103.911737
819	2103.63947
820	2103.566143
821	2103.514067
822	2103.345223
823	2103.255421
824	2103.181005
825	2103.139841
826	2102.992498
827	2102.818736
828	2102.739228
829	2102.566379
830	2102.449263
831	2102.296013
832	2102.174185
833	2101.973682
834	2101.865929
835	2101.833775
836	2101.615256
837	2101.517704
838	2101.414484
839	2101.285408
840	2101.130148
841	2101.012301
842	2100.874236
843	2100.765048
844	2100.237565
845	2100.089429
846	2100.026407
847	2099.867686
848	2099.816078
849	2099.699335
850	2099.597015
851	2099.377197
852	2099.18874
853	2099.171146
854	2098.957236
855	2098.701137
856	2098.668996
857	2098.598893
858	2098.547121
859	2098.391855
860	2098.243851
861	2098.111326
862	2097.914472
863	2097.72848
864	2097.603316
865	2097.576779
866	2097.414271
867	2097.386031
868	2097.238458
869	2097.192277
870	2097.109275
871	2096.894932
872	2096.854176
873	2096.723449
874	2096.68131
875	2096.654087
876	2096.577133
877	2096.451097
878	2096.196342
879	2096.034062
880	2095.870049
881	2095.650107
882	2095.609012
883	2095.507625
884	2095.244406
885	2095.110241
886	2094.987009
887	2094.869059
888	2094.625232
889	2094.323774
890	2094.300714
891	2094.170018
892	2094.08468
893	2094.02521
894	2093.886947
895	2093.763233
896	2093.728197
897	2093.546046
898	2093.532569
899	2093.473255
900	2093.264963
901	2093.103694
902	2093.061102
903	2092.911427
904	2092.824708
905	2092.563838
906	2092.299717
907	2092.045219
908	2091.967951
909	2091.956124
910	2091.781404
911	2091.708982
912	2091.552918
913	2091.28648
914	2091.156046
915	2091.021073
916	2090.811585
917	2090.683452
918	2090.560684
919	2090.509689
920	2090.455126
921	2090.251571
922	2090.09925
923	2090.010972
924	2089.984726
925	2089.950161
926	2089.891269
927	2089.807504
928	2089.785607
929	2089.537916
930	2089.42716
931	2089.309918
932	2089.194069
933	2089.13964
934	2089.009515
935	2088.818472
936	2088.530994
937	2088.395779
938	2088.376704
939	2088.375321
940	2088.28662
941	2088.047937
942	2088.005573
943	2087.948956
944	2087.906492
945	2087.778687
946	2087.718279
947	2087.665644
948	2087.598832
949	2087.443051
950	2087.326406
951	2087.195535
952	2086.763264
953	2086.672269
954	2086.635277
955	2086.625656
956	2086.1563
957	2085.761742
958	2085.611894
959	2085.34758
960	2085.235428
961	2085.203908
962	2084.992276
963	2084.8972
964	2084.71424
965	2084.657665
966	2084.533131
967	2084.420351
968	2084.305515
969	2084.237574
970	2084.040529
971	2083.954676
972	2083.777397
973	2083.60949
974	2083.546635
975	2083.45765
976	2083.323211
977	2083.180703
978	2083.028068
979	2082.980341
980	2082.805189
981	2082.70326
982	2082.496549
983	2082.279779
984	2082.174853
985	2081.955004
986	2081.779782
987	2081.699659
988	2081.54816
989	2081.492961
990	2081.387157
991	2081.364201
992	2081.303133
993	2081.244843
994	2081.038258
995	2080.971172
996	2080.889467
997	2080.83353
998	2080.696083
999	2080.482393
