iter	Passed	Remaining
400	25363	37887
401	25417	37810
402	25465	37723
403	25520	37648
404	25576	37575
405	25634	37505
406	25695	37438
407	25756	37371
408	25822	37312
409	25868	37226
410	25931	37161
411	25989	37091
412	26044	37016
413	26094	36935
414	26146	36857
415	26184	36759
416	26230	36672
417	26281	36593
418	26329	36509
419	26382	36432
420	26445	36370
421	26493	36286
422	26547	36212
423	26613	36154
424	26665	36077
425	26729	36016
426	26803	35967
427	26868	35908
428	26914	35823
429	26964	35743
430	27012	35661
431	27063	35583
432	27103	35491
433	27160	35421
434	27203	35333
435	27261	35265
436	27306	35179
437	27362	35108
438	27405	35022
439	27468	34959
440	27515	34877
441	27597	34840
442	27666	34785
443	27727	34722
444	27777	34644
445	27842	34585
446	27897	34513
447	27934	34418
448	27992	34351
449	28048	34281
450	28113	34222
451	28173	34157
452	28232	34090
453	28286	34018
454	28353	33962
455	28399	33880
456	28451	33805
457	28498	33725
458	28566	33669
459	28630	33609
460	28690	33545
461	28752	33482
462	28812	33417
463	28883	33365
464	28945	33303
465	29007	33240
466	29057	33164
467	29102	33082
468	29150	33003
469	29205	32934
470	29261	32864
471	29403	32892
472	29600	32979
473	29715	32974
474	29835	32976
475	29900	32915
476	29954	32843
477	30002	32764
478	30044	32679
479	30096	32605
480	30155	32537
481	30202	32458
482	30267	32398
483	30333	32338
484	30403	32284
485	30468	32223
486	30533	32163
487	30587	32092
488	30658	32037
489	30718	31972
490	30776	31904
491	30827	31830
492	30881	31758
493	30943	31695
494	30993	31619
495	31042	31543
496	31096	31471
497	31153	31403
498	31216	31342
499	31281	31281
500	31353	31227
501	31409	31158
502	31466	31091
503	31520	31020
504	31590	30965
505	31637	30886
506	31683	30809
507	31729	30730
508	31778	30655
509	31829	30581
510	31888	30515
511	31936	30439
512	32018	30395
513	32096	30348
514	32241	30363
515	32340	30334
516	32449	30315
517	32545	30283
518	32643	30253
519	32721	30204
520	32804	30159
521	32906	30132
522	32993	30091
523	33066	30037
524	33130	29975
525	33195	29913
526	33261	29853
527	33360	29822
528	33434	29769
529	33525	29730
530	33606	29682
531	33672	29622
532	33753	29573
533	33834	29525
534	33921	29483
535	34031	29459
536	34099	29400
537	34160	29334
538	34226	29273
539	34303	29221
540	34391	29179
541	34467	29125
542	34532	29063
543	34589	28994
544	34644	28922
545	34711	28862
546	34783	28805
547	34859	28752
548	34924	28690
549	34990	28628
550	35058	28568
551	35117	28501
552	35189	28444
553	35246	28375
554	35285	28292
555	35335	28217
556	35401	28155
557	35462	28090
558	35527	28028
559	35561	27941
560	35611	27867
561	35667	27798
562	35721	27726
563	35778	27658
564	35809	27570
565	35854	27492
566	35902	27417
567	35964	27353
568	36013	27278
569	36065	27207
570	36150	27160
571	36229	27109
572	36285	27040
573	36332	26964
574	36402	26906
575	36466	26843
576	36517	26770
577	36562	26694
578	36610	26620
579	36658	26545
580	36721	26482
581	36776	26413
582	36826	26340
583	36886	26275
584	36937	26203
585	36983	26128
586	37042	26062
587	37115	26006
588	37164	25933
589	37226	25869
590	37289	25806
591	37340	25734
592	37393	25664
593	37439	25589
594	37495	25522
595	37541	25447
596	37585	25371
597	37628	25295
598	37668	25217
599	37719	25146
600	37778	25081
601	37822	25005
602	37873	24934
603	37925	24865
604	37975	24793
605	38029	24725
606	38081	24655
607	38117	24575
608	38168	24505
609	38210	24429
610	38273	24367
611	38325	24298
612	38389	24236
613	38441	24166
614	38483	24091
615	38550	24031
616	38597	23959
617	38654	23893
618	38711	23827
619	38747	23748
620	38802	23681
621	38858	23614
622	38910	23545
623	38964	23478
624	39005	23403
625	39062	23337
626	39123	23274
627	39164	23199
628	39216	23131
629	39266	23061
630	39305	22985
631	39360	22918
632	39417	22853
633	39501	22803
634	39538	22726
635	39593	22660
636	39649	22594
637	39704	22528
638	39755	22459
639	39808	22392
640	39865	22327
641	39915	22257
642	39974	22194
643	40038	22133
644	40092	22066
645	40148	22000
646	40213	21940
647	40275	21877
648	40339	21816
649	40397	21752
650	40461	21691
651	40515	21624
652	40574	21561
653	40624	21492
654	40688	21431
655	40739	21363
656	40793	21297
657	40844	21228
658	40911	21169
659	40964	21103
660	41016	21035
661	41064	20966
662	41124	20903
663	41194	20845
664	41254	20782
665	41308	20716
666	41356	20647
667	41408	20580
668	41468	20517
669	41523	20451
670	41570	20382
671	41627	20318
672	41688	20255
673	41754	20196
674	41809	20130
675	41859	20062
676	41905	19993
677	41963	19929
678	42013	19861
679	42068	19796
680	42129	19734
681	42174	19664
682	42242	19605
683	42306	19545
684	42365	19482
685	42428	19420
686	42481	19354
687	42537	19290
688	42624	19239
689	42676	19173
690	42760	19121
691	42831	19063
692	42898	19004
693	42966	18945
694	43054	18894
695	43120	18834
696	43183	18772
697	43241	18709
698	43306	18648
699	43341	18574
700	43393	18508
701	43449	18444
702	43504	18379
703	43556	18313
704	43607	18246
705	43658	18180
706	43706	18113
707	43751	18044
708	43802	17978
709	43855	17912
710	43912	17849
711	43955	17779
712	44016	17717
713	44075	17655
714	44131	17590
715	44178	17523
716	44227	17456
717	44276	17390
718	44321	17321
719	44353	17248
720	44396	17179
721	44454	17116
722	44511	17053
723	44561	16987
724	44620	16924
725	44694	16868
726	44736	16799
727	44797	16737
728	44848	16672
729	44906	16609
730	44962	16545
731	45009	16478
732	45060	16413
733	45105	16346
734	45160	16282
735	45228	16223
736	45276	16157
737	45330	16092
738	45380	16027
739	45430	15961
740	45487	15899
741	45539	15834
742	45591	15769
743	45638	15703
744	45679	15635
745	45733	15571
746	45774	15503
747	45831	15440
748	45883	15376
749	45932	15310
750	45991	15248
751	46038	15182
752	46090	15118
753	46135	15052
754	46199	14991
755	46469	14998
756	46592	14956
757	46667	14899
758	46740	14841
759	46809	14781
760	46860	14717
761	46908	14651
762	46970	14589
763	47021	14524
764	47072	14460
765	47118	14393
766	47168	14328
767	47197	14257
768	47246	14192
769	47293	14126
770	47346	14062
771	47397	13998
772	47454	13935
773	47508	13872
774	47550	13804
775	47629	13748
776	47708	13692
777	47746	13624
778	47805	13562
779	47865	13500
780	47920	13437
781	47980	13375
782	48043	13314
783	48105	13253
784	48171	13193
785	48228	13130
786	48290	13069
787	48351	13008
788	48412	12946
789	48466	12883
790	48528	12822
791	48575	12757
792	48627	12693
793	48690	12632
794	48737	12567
795	48794	12505
796	48846	12441
797	48915	12382
798	48970	12319
799	49025	12256
800	49085	12194
801	49140	12131
802	49189	12067
803	49250	12006
804	49318	11946
805	49372	11883
806	49434	11822
807	49517	11766
808	49582	11706
809	49648	11645
810	49713	11585
811	49776	11524
812	49838	11463
813	49907	11403
814	49977	11344
815	50030	11281
816	50063	11213
817	50115	11150
818	50184	11090
819	50242	11028
820	50289	10964
821	50343	10901
822	50390	10837
823	50460	10777
824	50528	10718
825	50582	10655
826	50667	10599
827	50754	10543
828	50800	10478
829	50840	10413
830	50886	10348
831	50956	10289
832	51014	10227
833	51079	10166
834	51139	10105
835	51207	10045
836	51261	9982
837	51307	9918
838	51360	9855
839	51402	9790
840	51448	9726
841	51498	9663
842	51567	9603
843	51629	9542
844	51702	9483
845	51762	9422
846	51813	9359
847	51874	9298
848	51954	9240
849	52032	9182
850	52080	9118
851	52142	9057
852	52210	8997
853	52258	8934
854	52317	8872
855	52376	8811
856	52418	8746
857	52454	8681
858	52534	8623
859	52602	8563
860	52670	8503
861	52728	8441
862	52778	8378
863	52827	8315
864	52888	8254
865	52949	8193
866	53014	8132
867	53093	8074
868	53151	8012
869	53250	7956
870	53317	7896
871	53376	7835
872	53450	7775
873	53510	7714
874	53576	7653
875	53646	7593
876	53710	7532
877	53777	7472
878	53840	7411
879	53889	7348
880	53949	7287
881	54009	7225
882	54070	7164
883	54130	7103
884	54173	7039
885	54221	6976
886	54280	6915
887	54322	6851
888	54369	6788
889	54425	6726
890	54492	6666
891	54556	6605
892	54616	6544
893	54678	6483
894	54743	6422
895	54794	6360
896	54852	6298
897	54911	6237
898	54975	6176
899	55023	6113
900	55086	6052
901	55123	5989
902	55177	5927
903	55234	5865
904	55271	5801
905	55338	5741
906	55436	5684
907	55521	5625
908	55617	5567
909	55678	5506
910	55730	5444
911	55808	5385
912	55879	5324
913	55948	5264
914	56008	5202
915	56108	5145
916	56185	5085
917	56264	5025
918	56313	4963
919	56398	4904
920	56469	4843
921	56567	4785
922	56727	4732
923	56795	4671
924	56846	4609
925	56914	4548
926	57097	4496
927	57281	4444
928	57403	4387
929	57491	4327
930	57576	4267
931	57659	4206
932	57736	4146
933	57787	4083
934	57828	4020
935	57866	3956
936	57918	3894
937	57974	3832
938	58023	3769
939	58063	3706
940	58105	3643
941	58172	3581
942	58253	3521
943	58330	3460
944	58391	3398
945	58466	3337
946	58556	3277
947	58615	3215
948	58696	3154
949	58746	3091
950	58803	3029
951	58858	2967
952	58936	2906
953	58998	2844
954	59049	2782
955	59126	2721
956	59176	2658
957	59229	2596
958	59286	2534
959	59338	2472
960	59398	2410
961	59434	2347
962	59496	2285
963	59556	2224
964	59622	2162
965	59678	2100
966	59746	2038
967	59825	1977
968	59896	1916
969	59972	1854
970	60066	1793
971	60149	1732
972	60227	1671
973	60308	1609
974	60375	1548
975	60433	1486
976	60533	1425
977	60572	1362
978	60623	1300
979	60679	1238
980	60749	1176
981	60804	1114
982	60846	1052
983	60909	990
984	60971	928
985	61051	866
986	61117	804
987	61181	743
988	61238	681
989	61298	619
990	61363	557
991	61411	495
992	61464	433
993	61525	371
994	61575	309
995	61621	247
996	61685	185
997	61732	123
998	61792	61
999	61857	0
